method,alpha,gamma,r2_train,r2_test,correlation_test,mse_test,n_features
OLS,0.0,,0.3260496212843442,0.33049937587844913,0.5748947698333166,5.614239158176982,36
Ridge,0.0001,,0.32604962128337855,0.33049936817803627,0.574894763512172,5.614239222750423,36
Lasso,0.0001,,0.32500114403147573,0.3292049972615757,0.5737788343420658,5.6250934439752855,36
Adaptive Lasso,0.0001,1.0,0.32513720904350674,0.329382293179317,0.5739293791893498,5.623606691539059,35
Adaptive Lasso,0.0001,2.0,0.32495078168413716,0.32918405824648833,0.5737558934106263,5.625269032517255,33
Adaptive Lasso,0.0001,3.0,0.32430563506811505,0.3285551606787174,0.5732064207866847,5.630542786154295,30
Ridge,0.00013738237958832623,,0.3260496212825216,0.33049936529902724,0.5748947611488182,5.6142392468929625,36
Lasso,0.00013738237958832623,,0.32486406241920607,0.3290085321033853,0.5736106771512913,5.626740944133746,36
Adaptive Lasso,0.00013738237958832623,1.0,0.32509653643881475,0.3292820302514884,0.5738431263331546,5.624447467537239,35
Adaptive Lasso,0.00013738237958832623,2.0,0.32493543826476357,0.32909593119878133,0.5736792079170264,5.626008040524574,33
Adaptive Lasso,0.00013738237958832623,3.0,0.32434567990648566,0.32855927671724006,0.5732108936198032,5.630508270242259,30
Ridge,0.00018873918221350977,,0.3260496212809042,0.33049936134340685,0.5748947579016639,5.6142392800636545,36
Lasso,0.00018873918221350977,,0.32469691138071133,0.3287789636480748,0.5734150643253678,5.6286660389952745,33
Adaptive Lasso,0.00018873918221350977,1.0,0.32506278837957936,0.3291829401531551,0.5737585644597754,5.625278408525503,35
Adaptive Lasso,0.00018873918221350977,2.0,0.324919177447232,0.3290294763737621,0.5736222844424785,5.626565311522435,32
Adaptive Lasso,0.00018873918221350977,3.0,0.3243891422798074,0.32855331393427367,0.5732068842046537,5.630558272420622,30
Ridge,0.0002592943797404667,,0.326049621277852,0.3304993559083925,0.5748947534400427,5.614239325640118,36
Lasso,0.0002592943797404667,,0.3244382778553203,0.3284301694726718,0.5731165334399924,5.631590926362274,33
Adaptive Lasso,0.0002592943797404667,1.0,0.32500323593637537,0.3290491089675991,0.5736444022432241,5.626400678252315,34
Adaptive Lasso,0.0002592943797404667,2.0,0.324881946683112,0.328947887832839,0.573552901131872,5.62724948949749,32
Adaptive Lasso,0.0002592943797404667,3.0,0.32442681934644535,0.3285215336174059,0.573180696215448,5.630824772992825,30
Ridge,0.0003562247890262444,,0.32604962127209147,0.3304993484403329,0.5748947473094184,5.614239388265112,36
Lasso,0.0003562247890262444,,0.32403045987588874,0.32786417029939297,0.5726291759400548,5.636337232202224,33
Adaptive Lasso,0.0003562247890262444,1.0,0.3249636970451609,0.32890705645779295,0.5735207106544269,5.627591889633361,33
Adaptive Lasso,0.0003562247890262444,2.0,0.32475731637912175,0.3287654173117377,0.5733957034379485,5.628779634665201,31
Adaptive Lasso,0.0003562247890262444,3.0,0.3244429951758445,0.3284417572584736,0.5731129434245594,5.631493754532315,30
Ridge,0.0004893900918477494,,0.32604962126122017,0.3304993381780723,0.5748947388848675,5.61423947432147,36
Lasso,0.0004893900918477494,,0.323393420873745,0.3270948361563091,0.5719664342986701,5.642788646459666,31
Adaptive Lasso,0.0004893900918477494,1.0,0.32488236120997616,0.32868202098326804,0.5733271034161851,5.629478972225278,31
Adaptive Lasso,0.0004893900918477494,2.0,0.3244639866713168,0.3283941708696082,0.5730731656190322,5.631892800266013,31
Adaptive Lasso,0.0004893900918477494,3.0,0.3243841103608448,0.3282470316086775,0.5729447614068972,5.633126667675033,30
Ridge,0.0006723357536499335,,0.3260496212407046,0.3304993240748828,0.57489472730695,5.614239592586749,36
Lasso,0.0006723357536499335,,0.32237097824780137,0.32602573099056786,0.5710435138634133,5.651753854062854,28
Adaptive Lasso,0.0006723357536499335,1.0,0.3247025689478974,0.3283348230084284,0.573027482622259,5.632390474314677,31
Adaptive Lasso,0.0006723357536499335,2.0,0.3242490935748892,0.32802916403518223,0.572755862439264,5.63495364231605,30
Adaptive Lasso,0.0006723357536499335,3.0,0.324184083168772,0.3278632268968068,0.5726105894664205,5.636345143304245,30
Ridge,0.0009236708571873865,,0.3260496212019909,0.33049930469080524,0.5748947113932533,5.614239755136033,36
Lasso,0.0009236708571873865,,0.3218112038328562,0.3254645322009533,0.5705788455885897,5.656459905269766,28
Adaptive Lasso,0.0009236708571873865,1.0,0.32448806939127695,0.3279815696956563,0.5727270166177907,5.635352754721694,29
Adaptive Lasso,0.0009236708571873865,2.0,0.3241504234722844,0.32778528394328443,0.5725474638874053,5.6369987504346994,28
Adaptive Lasso,0.0009236708571873865,3.0,0.324012763073396,0.32754047926845264,0.5723326455492351,5.639051611839196,27
Ridge,0.0012689610031679222,,0.32604962112894165,0.33049927804394963,0.5748946895161651,5.614239978588881,36
Lasso,0.0012689610031679222,,0.3208087768321565,0.32447190930471026,0.5697448165775462,5.664783754617483,27
Adaptive Lasso,0.0012689610031679222,1.0,0.32416408920030415,0.3275813042322795,0.5723888050682311,5.638709265465959,28
Adaptive Lasso,0.0012689610031679222,2.0,0.3239480877621257,0.3275046077344037,0.5723081185814017,5.639352420178823,27
Adaptive Lasso,0.0012689610031679222,3.0,0.3236503682119236,0.3270839125654791,0.571936217047141,5.642880248542138,27
Ridge,0.0017433288221999873,,0.3260496209911177,0.33049924140464093,0.5748946594335933,5.614240285835557,36
Lasso,0.0017433288221999873,,0.3189326138276132,0.32259154766890286,0.5681306803304469,5.680551925022305,28
Adaptive Lasso,0.0017433288221999873,1.0,0.3237370284122111,0.3270828491461496,0.5719705933745157,5.642889166069957,26
Adaptive Lasso,0.0017433288221999873,2.0,0.3234893008805423,0.32693349925373727,0.5718143167086834,5.644141571197064,26
Adaptive Lasso,0.0017433288221999873,3.0,0.3231641517461883,0.3265763130486464,0.5714889404733893,5.647136831704868,24
Ridge,0.002395026619987486,,0.3260496207311153,0.33049919100981073,0.57489461805395,5.614240708432069,36
Lasso,0.002395026619987486,,0.3161260449197205,0.3198301222133286,0.5657322375091016,5.7037084425317754,27
Adaptive Lasso,0.002395026619987486,1.0,0.3232142659195548,0.32651581155628084,0.5715035949830085,5.647644179771963,25
Adaptive Lasso,0.002395026619987486,2.0,0.32288554763746313,0.3262427702310218,0.5712160392583775,5.649933825583842,26
Adaptive Lasso,0.002395026619987486,3.0,0.3232507996735624,0.32678595110049513,0.5716723207152192,5.645378867459089,23
Ridge,0.0032903445623126675,,0.3260496202407146,0.33049912166520545,0.574894561108543,5.614241289935931,36
Lasso,0.0032903445623126675,,0.31299850942329954,0.31668104514264683,0.5629905621729097,5.730115694691602,25
Adaptive Lasso,0.0032903445623126675,1.0,0.3222593184572129,0.32550907683125474,0.5706628814609673,5.6560863668461785,25
Adaptive Lasso,0.0032903445623126675,2.0,0.32223083574761013,0.3255260682105955,0.5705967839642956,5.655943882039131,24
Adaptive Lasso,0.0032903445623126675,3.0,0.3231397271383545,0.3267285869818869,0.5716272975540552,5.645859906414634,23
Ridge,0.004520353656360241,,0.3260496193159794,0.3304990261888422,0.5748944826927175,5.614242090573179,36
Lasso,0.004520353656360241,,0.3103258399767319,0.3138580784993428,0.5605617006822289,5.753788278853656,23
Adaptive Lasso,0.004520353656360241,1.0,0.32105118859793735,0.32418722836187475,0.5695641211079684,5.667171006905636,21
Adaptive Lasso,0.004520353656360241,2.0,0.3216650759737272,0.32501834694834975,0.5701573710734177,5.660201486123786,22
Adaptive Lasso,0.004520353656360241,3.0,0.32281950099256607,0.3264331892297062,0.5713775427728306,5.64833702677536,23
Ridge,0.006210169418915616,,0.3260496175728246,0.3304988946274301,0.5748943746188505,5.614243193809241,36
Lasso,0.006210169418915616,,0.3057598005914903,0.30910616542184455,0.5563629065879141,5.793636451528548,21
Adaptive Lasso,0.006210169418915616,1.0,0.3191408917265024,0.3221552253117145,0.5678619490900287,5.684210798479711,21
Adaptive Lasso,0.006210169418915616,2.0,0.32107516907435873,0.3243833656982942,0.5696183680238932,5.665526255766006,19
Adaptive Lasso,0.006210169418915616,3.0,0.322252975436362,0.325870641433209,0.5708972411407308,5.653054390364953,21
Ridge,0.008531678524172805,,0.3260496142884547,0.33049871314458645,0.574894225496617,5.61424471567203,36
Lasso,0.008531678524172805,,0.2997661932292037,0.3029585784077633,0.5508312063662704,5.84518834334051,18
Adaptive Lasso,0.008531678524172805,1.0,0.3162606923597123,0.3190974862074074,0.5652639800770766,5.70985211679426,19
Adaptive Lasso,0.008531678524172805,2.0,0.32028950826284774,0.3235589611170605,0.5689269405226904,5.672439474836138,19
Adaptive Lasso,0.008531678524172805,3.0,0.32154249895206866,0.32509172216854165,0.5702320926547263,5.659586182687764,21
Ridge,0.011721022975334805,,0.3260496081041583,0.330498462427554,0.5748940194118002,5.614246818112761,36
Lasso,0.011721022975334805,,0.2959015377832469,0.29904919477958014,0.5474162951251149,5.877971307028528,17
Adaptive Lasso,0.011721022975334805,1.0,0.3124349612094318,0.3152261698986004,0.561963527415307,5.742315858920134,17
Adaptive Lasso,0.011721022975334805,2.0,0.3188807553658731,0.32208041604018456,0.5676690110854067,5.684838127456692,18
