alpha,r2_test,mse_test,n_features,method
0.0001,0.3304993681780358,5.6142392227504265,36,Ridge
0.00013738237958832623,0.33049936529902635,5.6142392468929705,36,Ridge
0.00018873918221350977,0.3304993613434053,5.614239280063668,36,Ridge
0.0002592943797404667,0.3304993559083935,5.614239325640109,36,Ridge
0.0003562247890262444,0.3304993484403339,5.614239388265103,36,Ridge
0.0004893900918477494,0.3304993381780712,5.6142394743214785,36,Ridge
0.0006723357536499335,0.3304993240748807,5.614239592586767,36,Ridge
0.0009236708571873865,0.33049930469080757,5.614239755136015,36,Ridge
0.0012689610031679222,0.33049927804395296,5.614239978588852,36,Ridge
0.0017433288221999873,0.3304992414046425,5.614240285835543,36,Ridge
0.002395026619987486,0.3304991910098106,5.614240708432071,36,Ridge
0.0032903445623126675,0.3304991216652087,5.614241289935904,36,Ridge
0.004520353656360241,0.33049902618884075,5.614242090573192,36,Ridge
0.006210169418915616,0.3304988946274321,5.614243193809224,36,Ridge
0.008531678524172805,0.3304987131445867,5.6142447156720285,36,Ridge
0.011721022975334805,0.3304984624275573,5.614246818112732,36,Ridge
0.01610262027560939,0.33049811537632656,5.6142497283842685,36,Ridge
0.02212216291070448,0.33049763370441476,5.614253767546012,36,Ridge
0.03039195382313198,0.33049696286001684,5.61425939305367,36,Ridge
0.041753189365604,0.33049602431388836,5.614267263430838,36,Ridge
0.05736152510448681,0.3304947036702285,5.614278337967712,36,Ridge
0.07880462815669913,0.33049283211809055,5.614294032264208,36,Ridge
0.1082636733874054,0.3304901573154587,5.614316462387699,36,Ridge
0.14873521072935117,0.33048629781008276,5.614348827086749,36,Ridge
0.20433597178569418,0.3304806727639079,5.614395997101777,36,Ridge
0.2807216203941176,0.3304723970409882,5.614465394927565,36,Ridge
0.38566204211634725,0.3304601331505508,5.614568236376019,36,Ridge
0.5298316906283708,0.3304419007247871,5.614721128240468,36,Ridge
0.7278953843983146,0.3304148666775383,5.614947827964411,36,Ridge
1.0,0.3303751754529096,5.6152806671276885,36,Ridge
0.0001,0.32920499726157526,5.625093443975288,36,Lasso
0.00013738237958832623,0.3290085321033849,5.62674094413375,36,Lasso
0.00018873918221350977,0.32877896364807435,5.628666038995278,33,Lasso
0.0002592943797404667,0.32843016947267123,5.6315909263622785,33,Lasso
0.0003562247890262444,0.3278641702993923,5.636337232202229,33,Lasso
