alpha,r2_test,n_features
0.0001,0.3293822931793269,35
0.00013738237958832623,0.3292820302515016,35
0.00018873918221350977,0.3291829401531633,35
0.0002592943797404667,0.32904910896765094,34
0.0003562247890262444,0.3289070564578116,33
0.0004893900918477494,0.32868202098326704,31
0.0006723357536499335,0.32833482300847483,31
0.0009236708571873865,0.3279815696956422,29
0.0012689610031679222,0.32758130423225973,28
0.0017433288221999873,0.3270828491461272,26
0.002395026619987486,0.32651581155622367,25
0.0032903445623126675,0.32550907683116326,25
0.004520353656360241,0.32418722836173164,21
0.006210169418915616,0.32215522531147256,21
0.008531678524172805,0.31909748620738965,19
0.011721022975334805,0.3152261698985658,17
0.01610262027560939,0.31065471169826253,17
0.02212216291070448,0.30284579132539013,17
0.03039195382313198,0.2942388555286325,14
0.041753189365604,0.2858502097523077,13
0.05736152510448681,0.2774396862152386,12
0.07880462815669913,0.26614420302366826,11
0.1082636733874054,0.2537142002607189,8
0.14873521072935117,0.24460076593224434,7
0.20433597178569418,0.2321486304270428,8
0.2807216203941176,0.22085795502276928,7
0.38566204211634725,0.20597141794038243,6
0.5298316906283708,0.18777382471922655,5
0.7278953843983146,0.17928518220632528,4
1.0,0.17111206397080858,4
