objid,sample,asset_id,dr7objid,p_smooth,p_disk,p_star,is_smooth,is_disk,check
587722981748113567,original,100,587722981748113567,0.19998959,0.73939437,0.009231068,False,True,True
587722981748375756,original,102,587722981748375756,0.27523926,0.71068794,0.013582058,False,True,True
587722981748375801,original,103,587722981748375801,0.784,0.077,0.139,True,False,True
587722981748572353,original,105,587722981748572353,0.8496492,0.06416387,0.0,True,False,True
587722981748637919,original,106,587722981748637919,0.011584208,0.99254835,0.0,False,True,True
587722981748703487,original,108,587722981748703487,0.7479116,0.20008636,0.0,True,False,True
587722981748703506,original,109,587722981748703506,0.29163623,0.78835756,0.0015108839,False,True,True
587722981748768912,original,110,587722981748768912,0.20025626,0.9223833,0.0067644212,False,True,True
587722981748768945,original,112,587722981748768945,0.8523644,0.10854218,0.0,True,False,True
587722981748834455,original,114,587722981748834455,0.044226084,0.9533652,0.0037748087,False,True,True
587722981748834475,original,115,587722981748834475,0.24509461,0.7855708,0.0,False,True,True
587722983355384011,original,1000,587722983355384011,1.0,0.0,0.0,True,False,True
587722983355514897,original,1001,587722983355514897,0.21259817,0.85254633,0.0,False,True,True
587722983355514966,original,1002,587722983355514966,0.0435324,0.9872376,0.00023542959,False,True,True
587722983355515068,original,1004,587722983355515068,0.7448419,0.15332352,0.04982998,True,False,True
587722983355777142,original,1005,587722983355777142,0.838,0.139,0.023,True,False,True
587722983355777200,original,1007,587722983355777200,0.117446154,0.8275375,0.010757952,False,True,True
587722983355777219,original,1008,587722983355777219,0.82282597,0.15392788,0.046246726,True,False,True
587722983355842686,original,1009,587722983355842686,0.033,0.931,0.036,False,True,True
587722983355842756,original,1012,587722983355842756,0.22642125,0.8382146,0.0,False,True,True
587722983355908291,original,1017,587722983355908291,0.12801234,0.88172907,0.0081924675,False,True,True
587722983355908308,original,1019,587722983355908308,0.03521488,0.98308283,0.0,False,True,True
587722983355973770,original,1020,587722983355973770,0.2371927,0.7927555,0.0,False,True,True
587722983356039315,original,1021,587722983356039315,0.7091044,0.13913912,0.11133532,True,False,True
587722983356170385,original,1022,587722983356170385,0.98227453,0.0,0.017725486,True,False,True
587722983356170440,original,1023,587722983356170440,0.03808155,0.97726345,0.0029841585,False,True,True
587722983356629128,original,1027,587722983356629128,0.2101131,0.7471876,0.0,False,True,True
587722983356694717,original,1028,587722983356694717,0.123084866,0.86976236,0.006760724,False,True,True
587722983356760066,original,1029,587722983356760066,0.053165264,0.954955,0.0,False,True,True
587722983356760343,original,1030,587722983356760343,0.18066272,0.8798486,0.018793194,False,True,True
587722983357087828,original,1031,587722983357087828,0.15034388,0.80724746,0.06339122,False,True,True
587722983358136509,original,1034,587722983358136509,0.18802722,0.9426244,0.0,False,True,True
587722983358202043,original,1036,587722983358202043,0.25938112,0.7821634,0.0068202075,False,True,True
587722983358267585,original,1037,587722983358267585,0.10860929,0.8072727,0.0005319368,False,True,True
587722983358333168,original,1039,587722983358333168,0.028840467,0.9890729,0.0,False,True,True
587722983358464104,original,1040,587722983358464104,0.18374485,0.9223079,0.0072518475,False,True,True
587722983358464155,original,1041,587722983358464155,0.7612509,0.10186377,0.046912383,True,False,True
587722983358464156,original,1042,587722983358464156,0.16099238,0.92359287,0.006568213,False,True,True
587722983358464177,original,1043,587722983358464177,0.73394436,0.17030758,0.041025918,True,False,True
587722983358464203,original,1044,587722983358464203,0.02115439,0.97526616,0.012108938,False,True,True
587722983358464224,original,1045,587722983358464224,0.83694917,0.10406403,0.023304861,True,False,True
587722983359184961,original,1050,587722983359184961,0.79711103,0.23294266,0.01640973,True,False,True
587722983359381745,original,1051,587722983359381745,0.82012576,0.26066235,0.017443243,True,False,True
587722983359447251,original,1052,587722983359447251,0.20328246,0.8853985,0.0011298966,False,True,True
587722983359578208,original,1053,587722983359578208,0.02377475,0.91020477,0.01461103,False,True,True
587722983359709399,original,1056,587722983359709399,0.8536289,0.117,0.046,True,False,True
587722983359840456,original,1058,587722983359840456,0.04716082,0.9725345,0.013256618,False,True,True
587722983359905919,original,1059,587722983359905919,0.874,0.062,0.064,True,False,True
587722983360102619,original,1064,587722983360102619,0.8314705,0.14261481,0.03671101,True,False,True
587722983360102630,original,1065,587722983360102630,0.038013324,0.98033154,0.0,False,True,True
587722983360168007,original,1066,587722983360168007,0.19500095,0.80442464,0.0,False,True,True
587722983360364713,original,1070,587722983360364713,0.8159811,0.14621909,0.0,True,False,True
587722983360364722,original,1071,587722983360364722,0.14226912,0.72750914,0.03011322,False,True,True
587722983360430255,original,1072,587722983360430255,0.034,0.927,0.038,False,True,True
